29,53,7,5
29,53,7,5
29,53,7,5
29,53,6,6
29,53,6,6
29,53,6,6
29,53,6,6
29,53,6,6
29,53,6,6
29,53,6,6
29,53,4,6
29,53,4,5
29,53,4,2
29,53,4,2
29,53,4,2
29,53,4,2
29,53,4,2
29,53,4,3
29,53,4,3
29,53,4,3
29,53,4,3
29,53,4,3
29,53,4,3
29,53,4,3
29,53,4,3
29,53,4,3
29,53,4,3
29,53,4,3
29,53,4,4
29,53,4,4
29,53,4,4
29,53,4,4
29,53,4,5
29,53,4,5
29,53,4,5
29,53,4,5
29,53,4,5
29,53,4,5
29,53,4,5
29,53,4,5
29,53,5,6
29,53,5,6
29,53,5,6
29,53,5,6
29,53,5,6
29,53,5,6
29,53,5,6
29,53,5,6
29,53,6,10
29,53,4,11
29,53,3,9
29,53,2,7
29,53,2,7
29,53,2,6
29,53,2,7
29,53,3,7
29,53,4,7
29,53,4,7
29,53,5,7
29,53,5,7
29,53,6,7
29,53,6,10
29,53,7,11
29,53,7,11
29,53,7,11
29,53,7,11
29,53,7,11
29,53,7,11
30,52,8,14
30,52,8,13
30,52,8,13
30,52,8,13
18,52,8,14
18,52,8,14
18,52,8,14
18,52,8,14
18,52,8,14
18,52,8,14
18,52,8,14
18,52,8,14
18,52,8,14
18,52,8,14
18,52,8,14
18,52,8,14
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,16
30,52,8,17
